Map Name,Density %,Agent #,CBS Sum Of Cost,SIPP Sum Of Cost,CBS Makespan,SIPP Makespan,CBS Time,SIPP Time
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex10.yaml,18.75,10,84,87,12,12,4.378027439117432,0.04288649559020996
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex11.yaml,18.75,10,75,86,13,18,0.6053967475891113,0.0438840389251709
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex12.yaml,18.75,10,67,70,10,12,0.47030138969421387,0.04089164733886719
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex19.yaml,18.75,10,76,75,15,13,6.44919753074646,0.04390358924865723
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex27.yaml,18.75,10,47,47,8,8,0.09674286842346191,0.033910274505615234
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex32.yaml,18.75,10,68,69,9,11,4.733436822891235,0.03889656066894531
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex33.yaml,18.75,10,50,51,9,9,0.06981468200683594,0.030939817428588867
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex34.yaml,18.75,10,64,65,10,10,0.07480049133300781,0.0329134464263916
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex37.yaml,18.75,10,61,59,10,10,0.5764718055725098,0.02992081642150879
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex39.yaml,18.75,10,57,56,12,12,3.8936824798583984,0.03191542625427246
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex41.yaml,18.75,10,65,66,10,10,0.539546012878418,0.03590512275695801
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex42.yaml,18.75,10,59,58,12,10,1.2317352294921875,0.03790140151977539
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex43.yaml,18.75,10,78,83,13,13,3.315237522125244,0.03989577293395996
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex46.yaml,18.75,10,48,49,9,9,0.015957355499267578,0.028923988342285156
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex49.yaml,18.75,10,54,54,7,9,5.4415602684021,0.029920578002929688
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex50.yaml,18.75,10,89,87,15,15,5.251105785369873,0.0438838005065918
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex51.yaml,18.75,10,52,87,11,15,0.032914161682128906,0.0438838005065918
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex57.yaml,18.75,10,61,57,12,12,0.8647291660308838,0.03887605667114258
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex58.yaml,18.75,10,62,70,9,15,0.06782150268554688,0.04288673400878906
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex59.yaml,18.75,10,59,64,13,13,0.2283945083618164,0.038916826248168945
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex63.yaml,18.75,10,61,62,11,9,0.7879116535186768,0.03191542625427246
