Map Name,Algorithm,Density%,Agent#,Sum Of Cost,MakeSpan
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex10.yaml,cbs,18.75,10,84,12
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex10.yaml,sipp,18.75,10,87,12
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex11.yaml,cbs,18.75,10,75,13
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex11.yaml,sipp,18.75,10,86,18
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex12.yaml,cbs,18.75,10,67,10
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex12.yaml,sipp,18.75,10,70,12
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex16.yaml,cbs,18.75,10,64,12
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex16.yaml,sipp,18.75,5,32,12
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex17.yaml,cbs,18.75,10,72,10
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex17.yaml,sipp,18.75,6,43,9
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex19.yaml,cbs,18.75,10,76,15
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex19.yaml,sipp,18.75,10,75,13
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex2.yaml,cbs,18.75,10,54,13
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex2.yaml,sipp,18.75,4,23,8
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex22.yaml,cbs,18.75,10,64,12
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex22.yaml,sipp,18.75,1,2,2
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex27.yaml,cbs,18.75,10,47,8
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex27.yaml,sipp,18.75,10,47,8
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex33.yaml,cbs,18.75,10,68,11
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex33.yaml,sipp,18.75,10,51,9
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex34.yaml,cbs,18.75,10,64,10
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex34.yaml,sipp,18.75,10,65,10
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex37.yaml,cbs,18.75,10,61,10
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex37.yaml,sipp,18.75,10,59,10
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex40.yaml,cbs,18.75,10,65,11
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex40.yaml,sipp,18.75,5,35,11
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex41.yaml,cbs,18.75,10,65,10
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex41.yaml,sipp,18.75,10,66,10
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex46.yaml,cbs,18.75,10,48,9
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex46.yaml,sipp,18.75,10,49,9
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex51.yaml,cbs,18.75,10,52,11
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex51.yaml,sipp,18.75,10,49,9
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex58.yaml,cbs,18.75,10,62,9
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex58.yaml,sipp,18.75,10,70,15
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex59.yaml,cbs,18.75,10,59,13
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex59.yaml,sipp,18.75,10,64,13
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex64.yaml,cbs,18.75,10,44,8
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex64.yaml,sipp,18.75,10,44,8
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex7.yaml,cbs,18.75,10,58,10
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex7.yaml,sipp,18.75,10,62,13
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex75.yaml,cbs,18.75,10,58,8
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex75.yaml,sipp,18.75,10,61,8
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex8.yaml,cbs,18.75,10,58,10
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex8.yaml,sipp,18.75,10,62,14
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex91.yaml,cbs,18.75,10,57,11
.\benchmark\8x8_obst12\map_8by8_obst12_agents10_ex91.yaml,sipp,18.75,10,57,11
